title,description,created_at,deadline,category,priority
Request tax refund status,Check government portal for current tax refund update.,2025-07-17,2025-07-23,finance,medium
Install smart thermostat,Set up new smart thermostat to regulate home temperature.,2025-07-17,2025-07-26,tech,medium
Arrange birthday surprise,Plan and organize birthday surprise for best friend.,2025-07-17,2025-07-27,personal,high
Paint guest bedroom,Purchase supplies and apply two fresh coats in guest room.,2025-07-17,2025-07-31,home,medium
Plan road trip itinerary,Map out route and sightseeing stops for August vacation.,2025-07-17,2025-07-28,travel,medium
Finalize client presentation slides,Complete and polish slides for upcoming client meeting.,2025-07-17,2025-07-23,work,high
Book annual dental checkup,Schedule routine dental cleaning and checkup appointment.,2025-07-17,2025-08-01,health,medium
Plan weekend camping trip,Organize gear and campsite reservations for weekend outing.,2025-07-17,2025-07-25,travel,medium
Update personal finance spreadsheet,Record recent expenses and review monthly budget.,2025-07-17,2025-07-21,finance,medium
Prepare tax filing documents,"Gather W-2s, receipts, and necessary tax forms.",2025-07-17,2025-07-30,finance,high
Register for summer art workshop,Sign up for three-day watercolor painting workshop.,2025-07-17,2025-07-28,hobby,medium
Replace home smoke detector batteries,Test and replace batteries in all smoke alarms.,2025-07-17,2025-07-22,home,high
Review health insurance options,Compare plans and rates for next insurance enrollment.,2025-07-17,2025-07-30,health,medium
Write monthly newsletter article,Draft article for monthly community newsletter submission.,2025-07-17,2025-07-24,community,medium
Organize digital photo archive,Sort and tag photos for easy future access.,2025-07-17,2025-07-26,personal,low
Schedule auto insurance renewal,Contact insurance provider to renew car insurance policy.,2025-07-17,2025-07-29,finance,high
Order new business cards,Design and order updated business cards for networking.,2025-07-17,2025-07-25,career,medium
Declutter kitchen cabinets,Sort through and donate unused dishes and utensils.,2025-07-17,2025-07-23,home,low
Attend professional conference,Prepare travel and accommodation for upcoming industry conference.,2025-07-17,2025-08-12,career,high
Update website content,Refresh homepage and services information for better SEO.,2025-07-17,2025-07-22,work,medium
Test backup hard drive,Verify backups and run diagnostics on external drive.,2025-07-17,2025-07-21,tech,medium
Set up appointments calendar,Create master calendar for all upcoming personal and work events.,2025-07-17,2025-07-19,personal,medium
Book pet grooming session,Schedule grooming appointment for dog before weekend.,2025-07-17,2025-07-24,personal,low
Renew passport,Check expiration and apply for passport renewal paperwork.,2025-07-17,2025-08-05,travel,high
Clean and organize garage,Sort tools and clear out clutter in garage space.,2025-07-17,2025-07-30,home,medium
Prepare presentation speech,Write and rehearse speech for product demo presentation.,2025-07-17,2025-07-23,work,high
Subscribe to industry newsletter,Sign up for monthly updates on latest tech trends.,2025-07-17,2025-07-21,career,low
Review quarterly KPIs,Analyze key performance indicators for the last quarter.,2025-07-17,2025-07-22,work,high
Order school supplies,"Purchase notebooks, pencils, and backpacks for upcoming school year.",2025-07-17,2025-07-29,personal,medium
Update health emergency contacts,Verify and add emergency contacts in medical records.,2025-07-17,2025-07-24,health,medium
Set up new email account,Create a professional email address and configure forwarding.,2025-07-17,2025-07-19,tech,medium
Prepare client status report,Draft progress report for client project milestone.,2025-07-17,2025-07-22,work,high
Organize charity fundraiser,"Plan venue, guests, and sponsorships for charity event.",2025-07-17,2025-08-10,community,high
Order replacement glasses lenses,Contact optometrist to order new lenses for broken glasses.,2025-07-17,2025-07-28,health,medium
Clean outdoor patio furniture,Scrub and cover patio chairs and table for summer.,2025-07-17,2025-07-23,home,low
Attend language exchange meetup,Join weekly language practice group at local café.,2025-07-17,2025-07-24,education,low
Create social media content calendar,Plan posts and campaigns for upcoming month.,2025-07-17,2025-07-22,work,medium
Pay quarterly estimated taxes,Calculate and submit quarterly tax payment to government.,2025-07-17,2025-07-31,finance,high
Review subscription services,Cancel unused digital subscriptions to save money.,2025-07-17,2025-07-25,finance,medium
Test smart home devices,"Check functionality of lights, speakers, and thermostat.",2025-07-17,2025-07-20,tech,medium
Book family portrait session,Schedule professional photo shoot for family portraits.,2025-07-17,2025-07-28,personal,medium
Clean carpets and rugs,Arrange carpet cleaning service for home.,2025-07-17,2025-07-25,home,medium
Prepare for job interview,Research company and practice interview questions.,2025-07-17,2025-07-24,career,high
Update fitness tracker goals,Adjust daily step count and exercise targets.,2025-07-17,2025-07-19,health,medium
Repair broken fence panel,Contact handyman to fix backyard fence damage.,2025-07-17,2025-07-29,home,medium
Write blog post draft,Create outline and write content for weekly blog.,2025-07-17,2025-07-22,hobby,medium
Perform monthly car maintenance,"Check oil, fluids, and tire tread for vehicle.",2025-07-17,2025-07-23,personal,medium
Join online book discussion,Register for virtual discussion on latest book club read.,2025-07-17,2025-07-26,community,low
Create emergency contact card,Design and print wallet-sized emergency info cards.,2025-07-17,2025-07-21,personal,medium
Scan important documents,Digitize and securely save birth certificates and IDs.,2025-07-17,2025-07-25,personal,high
Register for marathon,Fill out registration form and arrange travel for marathon.,2025-07-17,2025-08-15,health,high
Update software licenses,Renew necessary software licenses for work tools.,2025-07-17,2025-07-30,tech,high
Plan weekend bike ride route,Map scenic trails and check weather forecast.,2025-07-17,2025-07-20,personal,low
Back up website data,Save all website files and databases to external storage.,2025-07-17,2025-07-22,project,high
Order office chair replacement,Select and purchase comfortable chair for home office.,2025-07-17,2025-07-29,work,medium
Schedule eye doctor appointment,Book yearly vision check and eye exam.,2025-07-17,2025-08-01,health,medium
Make appointments for vehicle inspection,Reserve slot at auto inspection center.,2025-07-17,2025-07-28,personal,medium
Write thank you emails,Send appreciation messages to recent interviewers.,2025-07-17,2025-07-20,career,medium
Set up automatic bill payments,Enroll utilities in auto-pay to avoid late fees.,2025-07-17,2025-07-25,finance,high
Rearrange library books,Organize personal book collection alphabetically.,2025-07-17,2025-07-21,personal,low
Design quarterly business report,Create visually appealing report for Q3 performance.,2025-07-17,2025-07-31,work,high
Schedule routine health checkup,Book full body checkup with primary care physician.,2025-07-18,2025-08-05,health,medium
Plan summer vacation itinerary,Research destinations and book accommodations for July trip.,2025-07-18,2025-07-28,travel,medium
Update emergency preparedness kit,Replace expired supplies and restock essentials.,2025-07-18,2025-07-25,home,high
Finish online certification course,Complete final assignments for digital marketing certification.,2025-07-18,2025-07-30,education,high
Organize workspace drawer,Clean and arrange office supplies for better productivity.,2025-07-18,2025-07-22,work,low
Buy birthday gift for colleague,Purchase thoughtful gift for coworker's upcoming birthday.,2025-07-18,2025-07-24,personal,medium
Review and pay credit card bills,Check statements and pay off outstanding balances.,2025-07-18,2025-07-25,finance,high
Attend networking event,Prepare elevator pitch and meet industry professionals.,2025-07-18,2025-07-26,career,medium
Backup important documents,Save critical files to cloud and external hard drive.,2025-07-18,2025-07-23,tech,high
Clean backyard garden,Trim bushes and remove weeds from garden area.,2025-07-18,2025-07-24,home,medium
Submit job application online,Complete application form and submit before deadline.,2025-07-18,2025-07-27,career,high
Schedule annual car maintenance,Book appointment for oil change and system check.,2025-07-18,2025-07-30,personal,medium
Create meal prep plan for week,List recipes and shop ingredients for healthy meals.,2025-07-18,2025-07-22,home,medium
Write blog post on fitness,Draft article about effective workout routines.,2025-07-18,2025-07-25,hobby,medium
Organize digital photo albums,Sort and tag photos from recent vacations.,2025-07-18,2025-07-28,personal,low
Order replacement printer ink,Check cartridge levels and order new ink online.,2025-07-18,2025-07-21,work,medium
Plan weekend hiking trip,Research trails and prepare gear list.,2025-07-18,2025-07-23,travel,medium
Renew passport before travel,Apply for passport renewal before expiration.,2025-07-18,2025-08-05,travel,high
Prepare client proposal draft,Outline key points and create presentation slides.,2025-07-18,2025-07-25,work,high
Arrange volunteer community event,Coordinate with local groups for upcoming cleanup.,2025-07-18,2025-08-01,community,medium
Prepare tax documents for accountant,Gather receipts and income statements for filing.,2025-07-18,2025-07-30,finance,high
Schedule dentist appointment,Book cleaning and cavity check with dentist.,2025-07-18,2025-07-31,health,medium
Update software licenses,Renew subscriptions for productivity software.,2025-07-18,2025-07-28,tech,medium
Replace old curtains in living room,Buy and hang new blackout curtains.,2025-07-18,2025-07-24,home,low
Attend local art class,Register and prepare materials for painting workshop.,2025-07-18,2025-07-29,hobby,medium
Pay monthly utility bills,"Settle electricity, water, and gas bills online.",2025-07-18,2025-07-23,finance,high
Create family budget spreadsheet,Track monthly income and expenses for household.,2025-07-18,2025-07-25,finance,medium
Prepare presentation for work meeting,Rehearse and finalize slides for client update.,2025-07-18,2025-07-22,work,high
Install new antivirus software,Download and install latest protection tools.,2025-07-18,2025-07-20,tech,high
Book flight tickets for vacation,Compare prices and book round-trip tickets.,2025-07-18,2025-07-27,travel,medium
Organize kids' playroom,Sort toys and create fun activity zones.,2025-07-18,2025-07-24,home,low
Update LinkedIn profile,Add recent achievements and new skills.,2025-07-18,2025-07-22,career,medium
Repair broken kitchen cabinet,Schedule handyman to fix door hinge.,2025-07-18,2025-07-26,home,medium
Research home energy-saving tips,Look up methods to reduce electricity bills.,2025-07-18,2025-07-25,home,medium
Apply for professional certification,Complete paperwork and submit application.,2025-07-18,2025-07-29,career,high
Prepare grocery shopping list,Plan meals and write down needed items.,2025-07-18,2025-07-19,home,medium
Schedule eye exam appointment,Book appointment for vision check and glasses update.,2025-07-18,2025-07-31,health,medium
Organize email inbox,Delete spam and categorize important messages.,2025-07-18,2025-07-21,tech,low
Attend weekend yoga retreat,Register and pack essentials for two-day retreat.,2025-07-18,2025-07-26,health,medium
Submit scholarship application,Fill and send application before deadline.,2025-07-18,2025-07-29,education,high
Clean and declutter garage,Sort old items and organize storage shelves.,2025-07-18,2025-07-30,home,medium
Book hair salon appointment,Schedule haircut and treatment session.,2025-07-18,2025-07-23,personal,low
Prepare presentation handouts,Print and organize handouts for meeting attendees.,2025-07-18,2025-07-22,work,medium
Pay car registration renewal,Complete payment and print new registration cards.,2025-07-18,2025-07-28,personal,high
Write thank-you notes,Send notes to gift and support givers.,2025-07-18,2025-07-21,personal,low
Update pet vaccination records,Make vet appointment and collect updated paperwork.,2025-07-18,2025-07-30,personal,medium
Plan monthly team lunch,Choose restaurant and send invitations to coworkers.,2025-07-18,2025-07-24,work,low
Schedule HVAC maintenance,Book technician for air conditioning system check.,2025-07-18,2025-07-29,home,medium
Create budget report presentation,Design visual slides summarizing financials for meeting.,2025-07-18,2025-07-25,finance,high
Review workout schedule,Adjust plan to include strength and cardio exercises.,2025-07-18,2025-07-23,health,medium
File home insurance claim,Submit claim form and supporting documents online.,2025-07-18,2025-07-28,finance,high
Finish quarterly budget report,Compile expenditure data and finalize the budget report for Q2.,2025-06-28,2025-07-15,work,high
Schedule dentist appointment,Call Dr. Mehta's clinic to book your routine dental cleaning.,2025-07-05,2025-07-20,health,medium
Submit project proposal,Draft and email the final version of the proposal.,2025-06-30,2025-07-10,project,high
Pay credit card bill,Make payment for the June statement before due date.,2025-07-01,2025-07-15,finance,medium
Buy groceries for the week,"Purchase vegetables, fruits, and dairy for the week.",2025-07-13,2025-07-14,home,medium
Book tickets for vacation,Reserve train tickets for August trip to Goa.,2025-07-08,2025-07-22,travel,low
Update resume,Add recent internship experience and skills to resume.,2025-07-01,2025-07-18,career,medium
Attend networking webinar,Join the LinkedIn career growth session online.,2025-07-10,2025-07-11,career,low
Call insurance agent,Clarify policy renewal terms and monthly premium.,2025-07-05,2025-07-10,finance,medium
Organize bookshelf,Sort and clean all books and donate unused ones.,2025-07-07,2025-07-13,home,low
Write blog post,Finish draft on AI in healthcare and publish online.,2025-07-09,2025-07-20,hobby,medium
Renew gym membership,Visit gym and renew your annual subscription.,2025-07-02,2025-07-12,health,medium
Prepare for presentation,Design slides and practice for Monday's meeting.,2025-07-11,2025-07-14,work,high
Clean garage,Declutter old tools and arrange storage bins.,2025-07-01,2025-07-21,home,low
Review investment plan,Analyze current SIPs and mutual funds performance.,2025-07-03,2025-07-15,finance,medium
Volunteer at community center,Help with food distribution on the weekend.,2025-07-04,2025-07-10,community,medium
Fix broken faucet,Call plumber or fix the leaking kitchen tap.,2025-07-06,2025-07-09,home,medium
Attend coding bootcamp,Join online bootcamp on React development.,2025-07-01,2025-07-30,tech,high
Finish reading book,Complete “Atomic Habits” and write a review.,2025-07-02,2025-07-20,hobby,low
Organize team outing,Plan and book restaurant for Friday team lunch.,2025-07-08,2025-07-12,work,medium
Take car for servicing,Service and oil change at authorized center.,2025-07-10,2025-07-17,personal,medium
Buy birthday gift,Purchase a thoughtful gift for Ananya's birthday.,2025-07-05,2025-07-16,personal,low
Enroll in online course,Sign up for data visualization course on Coursera.,2025-07-09,2025-07-22,education,medium
Backup laptop files,Create backups for important project files.,2025-07-03,2025-07-06,tech,high
Email monthly newsletter,Draft and schedule newsletter for subscribers.,2025-07-11,2025-07-13,project,medium
Research mobile plans,Compare postpaid offers and switch to a better plan.,2025-07-02,2025-07-10,personal,low
Join book club meeting,Attend Sunday's virtual club discussion.,2025-07-07,2025-07-14,hobby,medium
Refill prescriptions,Order 3-month refill from pharmacy.,2025-07-04,2025-07-09,health,medium
Schedule haircut,Book salon appointment before weekend.,2025-07-08,2025-07-11,personal,low
Test new software release,Validate features in v2.3 update.,2025-07-06,2025-07-10,tech,high
Practice meditation,Follow daily mindfulness routine via Headspace.,2025-07-01,2025-07-31,health,low
Submit assignment 3,Finish data structures homework for Week 4.,2025-07-10,2025-07-17,education,high
Design business card,Create a new business card for freelancing.,2025-07-03,2025-07-15,career,medium
Post on Instagram page,Schedule 2 posts about app launch.,2025-07-05,2025-07-08,project,low
Record YouTube video,Film tutorial on Streamlit basics.,2025-07-06,2025-07-12,hobby,medium
Buy school supplies,"Get books, pens, and notebooks for cousin.",2025-07-01,2025-07-10,personal,low
Apply for scholarship,Submit application for merit-based aid.,2025-07-09,2025-07-25,education,high
Fix email template,Adjust layout issues in newsletter HTML.,2025-07-07,2025-07-14,work,medium
Visit parents,Plan trip to hometown for weekend.,2025-07-04,2025-07-13,personal,low
Contribute to open-source,Submit pull request to Python project.,2025-07-02,2025-07-18,tech,medium
Print study notes,Organize and print Week 5 notes.,2025-07-11,2025-07-15,education,medium
Check tire pressure,Inspect and refill air in car tires.,2025-07-03,2025-07-05,personal,low
Send internship update,Email mentor your weekly progress.,2025-07-06,2025-07-07,career,medium
Attend alumni event,Join the virtual college alumni session.,2025-07-08,2025-07-09,community,low
Start budgeting app project,Plan UI and models for new app.,2025-07-02,2025-07-20,project,high
Practice mock interviews,Do two practice rounds with a friend.,2025-07-09,2025-07-18,career,medium
"Walk 5,000 steps daily",Maintain physical activity goal all month.,2025-07-01,2025-07-31,health,low
Fix bug in dashboard,Resolve broken chart display in admin panel.,2025-07-05,2025-07-10,tech,high
Pay rent,Transfer rent to landlord by due date.,2025-07-01,2025-07-05,finance,high
Watch ML tutorial,Complete week 1 of machine learning playlist.,2025-07-03,2025-07-09,education,medium
Renew car insurance,Update car insurance policy before it expires.,2025-07-01,2025-07-20,finance,high
Organize study notes,Compile semester notes into folders.,2025-07-03,2025-07-18,education,medium
Plan birthday party,Arrange venue and invite friends for celebration.,2025-07-05,2025-07-22,personal,medium
Fix leaky faucet,Call plumber to repair kitchen sink.,2025-07-02,2025-07-12,home,high
Prepare resume update,Add recent project to resume.,2025-07-01,2025-07-15,career,high
Review investment portfolio,Analyze recent performance and rebalance if needed.,2025-07-04,2025-07-21,finance,medium
Book monsoon trip,Reserve tickets and stay for weekend getaway.,2025-07-03,2025-07-17,travel,medium
Volunteer at shelter,Join weekend food distribution program.,2025-07-06,2025-07-20,community,medium
Clean garage,Organize tools and discard unused items.,2025-07-01,2025-07-16,home,low
Finish group project,Finalize the report with team members.,2025-07-05,2025-07-19,education,high
Update LinkedIn profile,Add new certifications and skills.,2025-07-02,2025-07-14,career,medium
Buy groceries,"Restock fruits, vegetables, and essentials.",2025-07-07,2025-07-07,personal,high
Pay credit card bill,Clearing dues before due date.,2025-07-04,2025-07-10,finance,high
Take backup of laptop,Save important files to cloud.,2025-07-03,2025-07-09,tech,medium
Watch documentary,Finish "Our Planet" episodes.,2025-07-01,2025-07-25,hobby,low
Practice guitar daily,Spend 30 minutes learning chords.,2025-07-01,2025-07-31,hobby,medium
Create project presentation,Prepare slides for project demo.,2025-07-02,2025-07-14,project,high
Schedule eye check-up,Book appointment at local clinic.,2025-07-06,2025-07-22,health,medium
Buy new headphones,Research and purchase noise-canceling model.,2025-07-03,2025-07-12,tech,low
Attend webinar on AI,Register and participate in free session.,2025-07-04,2025-07-08,education,medium
Refill medications,Order monthly prescriptions online.,2025-07-01,2025-07-10,health,high
Submit freelance invoice,Send invoice for completed project.,2025-07-05,2025-07-15,work,medium
Start meditation routine,Begin with 10 minutes every morning.,2025-07-03,2025-07-31,personal,low
Update household budget,Track expenses and adjust limits.,2025-07-06,2025-07-18,finance,medium
Attend community meetup,Join local tech community gathering.,2025-07-07,2025-07-20,community,medium
Wash car,Clean interior and exterior.,2025-07-02,2025-07-05,home,low
Submit college application,Finish and send university documents.,2025-07-01,2025-07-11,education,high
Plan weekend hike,Choose trail and check weather.,2025-07-04,2025-07-08,hobby,medium
Buy birthday gift,Purchase present for cousin.,2025-07-03,2025-07-06,personal,high
Repaint bedroom,Choose new color and paint walls.,2025-07-01,2025-07-19,home,medium
Learn Excel shortcuts,Practice useful formulas and tricks.,2025-07-01,2025-07-15,tech,medium
Prepare for interview,Practice common behavioral questions.,2025-07-02,2025-07-13,career,high
Review GitHub profile,Clean up old repos and add new projects.,2025-07-03,2025-07-12,tech,medium
Host movie night,Pick film and invite friends.,2025-07-05,2025-07-09,personal,low
Get car serviced,Book a full service at garage.,2025-07-02,2025-07-14,personal,high
Send thank-you emails,Follow up after recent event.,2025-07-04,2025-07-10,work,medium
Sort bookshelf,Reorganize books by genre.,2025-07-01,2025-07-15,home,low
Write blog post,Share thoughts on recent travel.,2025-07-03,2025-07-10,project,medium
Fix website bug,Resolve broken link on homepage.,2025-07-05,2025-07-07,tech,high
Donate unused clothes,Drop items off at donation center.,2025-07-06,2025-07-16,community,medium
Submit tax documents,Upload receipts and forms online.,2025-07-01,2025-07-10,finance,high
Take online yoga class,Join beginner session for flexibility.,2025-07-02,2025-07-08,health,medium
Order business cards,Design and purchase for networking.,2025-07-04,2025-07-18,career,low
Prepare dinner for parents,Cook a surprise meal.,2025-07-03,2025-07-06,personal,medium
Setup printer,Connect new printer to home network.,2025-07-01,2025-07-05,tech,medium
Attend art exhibition,Visit weekend gallery showcase.,2025-07-05,2025-07-10,hobby,low
Research investment apps,Compare features and sign up.,2025-07-02,2025-07-12,finance,medium
Fix CV formatting,Polish layout for readability.,2025-07-03,2025-07-07,career,medium
Renew car insurance,Check policy details and renew car insurance before expiry.,2025-07-01,2025-07-20,finance,high
Prepare semester notes,Organize lecture notes and prepare summaries for each subject.,2025-06-30,2025-07-25,education,medium
Submit tax documents,Gather all financial records and submit them for tax filing.,2025-07-10,2025-07-31,finance,high
Organize photo album,Sort and arrange photos from the recent trip.,2025-07-05,2025-07-25,personal,low
Update LinkedIn profile,Add recent achievements and update work experience.,2025-07-02,2025-07-18,career,medium
Buy birthday gift,Purchase a gift for Riya's birthday party.,2025-07-06,2025-07-13,personal,medium
Fix leaky faucet,Call plumber or fix the kitchen faucet yourself.,2025-07-04,2025-07-10,home,high
Attend book club meeting,Finish reading book and attend the discussion.,2025-07-07,2025-07-14,hobby,low
Plan weekend hike,Choose trail and pack essentials for Saturday.,2025-07-08,2025-07-13,hobby,medium
Send project invoice,Create and email invoice to client for July deliverables.,2025-07-09,2025-07-15,work,high
Clean out inbox,Archive or delete unnecessary emails and organize folders.,2025-07-03,2025-07-12,tech,low
Call parents,Weekly check-in call to parents.,2025-07-01,2025-07-07,personal,medium
Check credit score,Log in to credit portal and review current score.,2025-07-06,2025-07-20,finance,medium
Backup laptop files,Create a secure backup of important documents.,2025-07-10,2025-07-17,tech,high
Reorganize bookshelf,Sort books by genre and declutter old ones.,2025-07-08,2025-07-18,home,low
Practice coding problems,Solve 5 LeetCode questions each day.,2025-07-01,2025-07-31,education,high
Buy groceries,Restock weekly groceries and household items.,2025-07-07,2025-07-07,home,high
Design team presentation,Create slides for next Monday's client review.,2025-07-11,2025-07-14,work,high
Pay electricity bill,Check units and complete the online payment.,2025-07-03,2025-07-09,finance,medium
Visit grandmother,Plan a weekend trip to grandma's house.,2025-07-05,2025-07-13,personal,high
Replace phone screen,Schedule service to fix cracked screen.,2025-07-02,2025-07-16,tech,medium
Book train tickets,Reserve seats for August vacation trip.,2025-07-04,2025-07-12,travel,medium
Read new novel,Start and finish reading "The Midnight Library".,2025-07-06,2025-07-25,hobby,low
Attend yoga class,Join online class for weekend session.,2025-07-09,2025-07-13,health,medium
Register for webinar,Sign up for the AI conference next month.,2025-07-08,2025-07-15,education,medium
Fix balcony light,Replace faulty bulb on the balcony.,2025-07-03,2025-07-10,home,low
Organize desktop icons,Categorize folders and files on your desktop.,2025-07-02,2025-07-08,tech,low
Schedule annual checkup,Call clinic to book full body checkup.,2025-07-01,2025-07-20,health,high
Finish course project,Finalize code and submit GitHub repo.,2025-07-05,2025-07-21,education,high
Participate in hackathon,Join online event and build project with team.,2025-07-12,2025-07-14,project,high
Order books online,Buy recommended books for upcoming semester.,2025-07-07,2025-07-16,education,medium
Write blog article,Draft and publish post on productivity tips.,2025-07-06,2025-07-20,career,medium
Volunteer at shelter,Spend a few hours helping at the animal shelter.,2025-07-05,2025-07-19,community,medium
Clean refrigerator,Remove expired items and wipe shelves.,2025-07-03,2025-07-08,home,low
Attend workshop,Join the skill development session this Sunday.,2025-07-09,2025-07-13,career,medium
Water indoor plants,Weekly watering and check soil condition.,2025-07-01,2025-07-07,home,low
Setup budget tracker,Use Excel or app to track July expenses.,2025-07-02,2025-07-09,finance,medium
Print travel documents,Print tickets and hotel bookings.,2025-07-06,2025-07-11,travel,medium
Update resume,Revise latest experience and format document.,2025-07-04,2025-07-15,career,high
Take dog to vet,Get vaccination and routine check.,2025-07-05,2025-07-10,health,high
Clean car interior,Vacuum seats and wipe dashboard.,2025-07-06,2025-07-09,personal,medium
Install software updates,Run OS and app updates.,2025-07-03,2025-07-08,tech,medium
Refill prescription,Visit pharmacy and restock medication.,2025-07-01,2025-07-07,health,high
Create travel itinerary,List places to visit and plan routes.,2025-07-08,2025-07-15,travel,medium
Practice meditation,Spend 15 minutes daily on mindfulness.,2025-07-01,2025-07-31,health,medium
Clean email spam folder,Delete and mark spam emails.,2025-07-02,2025-07-05,tech,low
Submit conference paper,Finalize draft and upload to portal.,2025-07-07,2025-07-18,education,high
Record podcast episode,Write script and record new episode.,2025-07-10,2025-07-20,hobby,medium
Fix chair handle,Tighten screws or replace handle.,2025-07-03,2025-07-10,home,low
Renew car insurance,Update and pay for car insurance before expiration.,2025-07-01,2025-07-21,finance,high
Prepare internship report,Draft and submit report for summer internship.,2025-07-03,2025-07-25,education,high
Buy groceries for the week,Get essentials from the local supermarket.,2025-07-04,2025-07-05,home,medium
Plan weekend hike,Choose location and prepare gear for hiking.,2025-07-06,2025-07-10,hobby,low
Update LinkedIn profile,Add recent projects and experiences.,2025-07-01,2025-07-15,career,medium
Clean bedroom closet,Organize clothes and donate unused items.,2025-07-02,2025-07-08,home,low
Submit tax documents,Send income statements to CA.,2025-07-05,2025-07-18,finance,high
Practice daily meditation,10-minute mindfulness session each morning.,2025-07-01,2025-07-31,personal,medium
Read new novel,Finish reading “The Silent Patient” this month.,2025-07-02,2025-07-30,hobby,low
Update mobile app version,Push latest patch to production.,2025-07-07,2025-07-09,tech,high
Backup laptop data,Transfer important files to external drive.,2025-07-08,2025-07-15,tech,medium
Attend local coding meetup,Participate and network with developers.,2025-07-06,2025-07-13,community,low
Pay electricity bill,Avoid late fees by paying before due date.,2025-07-01,2025-07-05,finance,high
Clean backyard garden,Remove weeds and water plants.,2025-07-03,2025-07-07,home,medium
Practice guitar chords,Daily 20-minute practice for finger strength.,2025-07-04,2025-07-31,hobby,low
Schedule performance review,Book time with manager for feedback.,2025-07-02,2025-07-20,career,medium
Organize college notes,Sort and label subjects for semester exams.,2025-07-03,2025-07-10,education,medium
Buy gift for friend,Find birthday present and wrap it.,2025-07-05,2025-07-12,personal,low
Revisit gym routine,Plan a new workout split.,2025-07-06,2025-07-11,health,medium
Research investment options,Compare mutual funds and SIP plans.,2025-07-02,2025-07-20,finance,medium
Submit project proposal,Finalize idea and submit to mentor.,2025-07-01,2025-07-09,project,high
Refill medications,Visit pharmacy to get monthly refill.,2025-07-07,2025-07-10,health,high
Book hotel for trip,Choose and reserve accommodation in advance.,2025-07-04,2025-07-14,travel,medium
Host study group,Plan group study for data structures topic.,2025-07-05,2025-07-09,education,medium
Paint bedroom wall,Choose new color and finish painting.,2025-07-06,2025-07-18,home,low
Record YouTube video,Film and edit tech review content.,2025-07-01,2025-07-10,project,medium
Enroll in online course,Register for AI fundamentals on Coursera.,2025-07-03,2025-07-08,education,high
Volunteer at shelter,Sign up for weekend support shift.,2025-07-04,2025-07-20,community,low
Fix leaking faucet,Call plumber or DIY repair.,2025-07-02,2025-07-06,home,medium
Conduct user testing,Get feedback on app interface.,2025-07-05,2025-07-13,tech,high
Bake cookies,Try new chocolate chip cookie recipe.,2025-07-03,2025-07-07,personal,low
Go for eye checkup,Book optometrist appointment for new glasses.,2025-07-04,2025-07-18,health,medium
Apply for part-time job,Update resume and submit to local cafes.,2025-07-06,2025-07-15,career,high
Organize digital files,Clean and sort documents on cloud drive.,2025-07-07,2025-07-12,tech,medium
Submit conference paper,Final edit and upload research draft.,2025-07-01,2025-07-10,project,high
Visit family,Plan weekend trip to parents' house.,2025-07-05,2025-07-21,personal,low
Clean refrigerator,Remove expired items and disinfect shelves.,2025-07-06,2025-07-10,home,low
Attend seminar on finance,Join webinar on budgeting and savings.,2025-07-03,2025-07-09,education,medium
Launch marketing campaign,Deploy social ads and email outreach.,2025-07-02,2025-07-15,project,high
Create art for portfolio,Paint 2-3 new pieces by mid-month.,2025-07-04,2025-07-20,hobby,medium
Prepare presentation slides,Design slides for Monday's meeting.,2025-07-01,2025-07-05,work,high
Buy kitchen essentials,"Restock spices, oil, and grains.",2025-07-07,2025-07-10,home,medium
Stretch every morning,Follow guided stretching routine.,2025-07-01,2025-07-31,health,medium
Install Linux on laptop,Dual boot Ubuntu for dev purposes.,2025-07-05,2025-07-14,tech,medium
Update family budget spreadsheet,Add recent income and expenses.,2025-07-02,2025-07-06,finance,high
Print resume copies,Keep hard copies for interviews.,2025-07-03,2025-07-08,career,medium
Clean balcony area,Sweep and rearrange furniture.,2025-07-04,2025-07-09,home,low
Schedule mentor meeting,Check availability for career advice chat.,2025-07-06,2025-07-15,career,medium
Join open mic event,Perform or attend for fun.,2025-07-05,2025-07-18,hobby,low
Renew passport,Apply for passport renewal before expiry to avoid delays.,2025-07-01,2025-07-20,personal,high
Organize digital photos,Sort and backup photos from phone and camera.,2025-07-04,2025-07-22,home,medium
Prepare birthday surprise,Buy gift and arrange a surprise party for Ria.,2025-07-02,2025-07-15,personal,medium
Finish React course,Complete the remaining modules of React Bootcamp.,2025-07-03,2025-07-30,education,high
Pay electricity bill,Clear the monthly electricity bill online.,2025-07-06,2025-07-10,finance,high
Set up automatic backups,Configure scheduled cloud backups for your laptop.,2025-07-07,2025-07-20,tech,medium
Volunteer beach cleanup,Participate in the weekend community beach cleanup.,2025-07-10,2025-07-13,community,medium
Buy groceries,Get weekly essentials from the local supermarket.,2025-07-05,2025-07-08,home,medium
Revisit resume format,Update resume with recent achievements and layout.,2025-07-03,2025-07-17,career,high
Plant new flowers,Add new plants to your balcony garden.,2025-07-08,2025-07-14,hobby,low
Submit tax documents,Send required paperwork to tax consultant.,2025-07-09,2025-07-18,finance,high
Read "Atomic Habits",Start and finish the book "Atomic Habits" this month.,2025-07-01,2025-07-31,hobby,medium
Attend webinar on AI,Register and join the AI trends webinar.,2025-07-11,2025-07-15,tech,high
Check car maintenance,Get the car serviced and check tire pressure.,2025-07-06,2025-07-16,personal,medium
